Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,isAllNBA
1,Chris Mullin*\mullich01,SF,27,GSW,82,82,40.4,9.5,17.7,0.536,0.5,1.6,0.301,9,16,0.56,0.55,6.3,7.1,0.884,1.7,3.7,5.4,4,2.1,0.8,3,2.1,25.7,1
2,Karl Malone*\malonka01,PF,27,UTA,82,82,40.3,10.3,19.6,0.527,0,0.2,0.286,10.3,19.4,0.529,0.528,8.3,10.8,0.77,2.9,8.9,11.8,3.3,1.1,1,3,3.3,29,1
3,Mitch Richmond*\richmmi01,SG,25,GSW,77,77,39.3,9.1,18.5,0.494,0.5,1.5,0.348,8.6,17,0.506,0.508,5.1,6,0.847,1.9,4,5.9,3.1,1.6,0.4,3,2.7,23.9,0
4,Tim Hardaway\hardati01,PG,24,GSW,82,82,39.2,9,18.9,0.476,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.803,1.1,3,4,9.7,2.6,0.1,3.3,2.8,22.9,0
5,Tyrone Corbin\corbity01,SF,28,MIN,82,82,39,7.2,16,0.448,0,0.1,0.2,7.1,15.9,0.45,0.449,3.6,4.5,0.798,2.3,4.9,7.2,4.2,2,0.6,2.5,3.1,18,0
6,Hersey Hawkins\hawkihe01,SG,24,PHI,80,80,38.9,7.4,15.6,0.472,1.4,3.4,0.4,6,12.3,0.491,0.515,6,6.9,0.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1,0
7,Brad Daugherty\daughbr01,C,25,CLE,76,76,38.8,8,15.2,0.524,0,0,0,8,15.2,0.525,0.524,5.7,7.6,0.751,2.3,8.6,10.9,3.3,1,0.6,2.8,2.5,21.6,0
8,James Worthy*\worthja01,SF,29,LAL,78,74,38.6,9.2,18.7,0.492,0.3,1.2,0.289,8.8,17.5,0.505,0.501,2.7,3.4,0.797,1.4,3.2,4.6,3.5,1.3,0.4,1.6,1.5,21.4,1
9,Pooh Richardson\richapo01,PG,24,MIN,82,82,38.5,7.7,16.5,0.47,0.5,1.6,0.328,7.2,14.9,0.485,0.486,1.1,2,0.539,1,2.5,3.5,9,1.6,0.2,2.1,1.4,17.1,0
10,Patrick Ewing*\ewingpa01,C,28,NYK,81,81,38.3,10.4,20.3,0.514,0,0.1,0,10.4,20.2,0.516,0.514,5.7,7.7,0.745,2.4,8.8,11.2,3,1,3.2,3.6,3.5,26.6,1
11,Joe Dumars*\dumarjo01,SG,27,DET,80,80,38.1,7.8,16.2,0.481,0.2,0.6,0.311,7.6,15.6,0.488,0.487,4.6,5.2,0.89,0.8,1.6,2.3,5.5,1.1,0.1,2.4,1.7,20.4,1
12,Sam Mitchell\mitchsa01,PF,27,MIN,82,60,38.1,5.4,12.3,0.441,0,0.1,0,5.4,12.2,0.445,0.441,3.7,4.8,0.775,2.3,4,6.3,1.6,0.8,0.7,1.3,4.1,14.6,0
13,Larry Bird*\birdla01,SF,34,BOS,60,60,38,7.7,17,0.454,1.3,3.3,0.389,6.4,13.7,0.47,0.492,2.7,3.1,0.891,0.9,7.6,8.5,7.2,1.8,1,3.1,2,19.4,0
14,Dominique Wilkins*\wilkido01,SF,31,ATL,81,81,38,9.5,20.2,0.47,1,3.1,0.341,8.5,17.2,0.492,0.495,5.9,7.1,0.829,3.2,5.8,9,3.3,1.5,0.8,2.5,1.9,25.9,1
15,John Stockton*\stockjo01,PG,28,UTA,82,82,37.8,6,11.9,0.507,0.7,2,0.345,5.3,9.9,0.541,0.537,4.4,5.3,0.836,0.6,2.3,2.9,14.2,2.9,0.2,3.6,2.8,17.2,1
16,David Robinson*\robinda01,C,25,SAS,82,81,37.7,9.2,16.7,0.552,0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,13,2.5,1.5,3.9,3.3,3.2,25.6,1
17,Lionel Simmons\simmoli01,SF,22,SAC,79,79,37.7,6.9,16.5,0.422,0,0.1,0.273,6.9,16.3,0.423,0.423,4.1,5.5,0.736,2.4,6.4,8.8,4,1.4,1.1,2.9,3.2,18,0
18,Tony Campbell\campbto01,SG,28,MIN,77,71,37.6,8.5,19.5,0.434,0.2,0.8,0.262,8.3,18.7,0.441,0.439,4.6,5.8,0.803,2.1,2.4,4.5,2.8,1.6,0.6,2.5,2.6,21.8,0
19,Bernard King*\kingbe01,SF,34,WSB,64,64,37.5,11.1,23.6,0.472,0.1,0.6,0.216,11,23,0.478,0.475,6,7.6,0.79,1.8,3.2,5,4.6,0.9,0.3,4,2.9,28.4,1
20,Derek Harper\harpede01,PG,29,DAL,77,77,37.4,7.4,15.9,0.467,1.2,3.2,0.362,6.3,12.7,0.493,0.503,3.7,5.1,0.731,0.8,2.3,3,7.1,1.9,0.2,2.3,2.9,19.7,0
21,Charles Barkley*\barklch01,SF,27,PHI,67,67,37.3,9.9,17.4,0.57,0.7,2.3,0.284,9.3,15.1,0.614,0.589,7.1,9.8,0.722,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,1
22,Rolando Blackman\blackro01,SG,31,DAL,80,80,37.1,7.9,16.5,0.482,0.5,1.4,0.351,7.4,15,0.494,0.497,3.5,4.1,0.865,0.8,2.4,3.2,3.8,0.9,0.2,2,1.9,19.9,0
23,Sean Elliott\elliose01,SF,22,SAS,82,82,37.1,5.8,11.9,0.49,0.2,0.8,0.313,5.6,11.1,0.502,0.5,4,4.9,0.808,1.7,3.8,5.6,2.9,0.8,0.4,1.8,2.3,15.9,0
24,Magic Johnson*\johnsma02,PG,31,LAL,79,79,37.1,5.9,12.4,0.477,1,3.2,0.32,4.9,9.2,0.532,0.518,6.6,7.3,0.906,1.3,5.6,7,12.5,1.3,0.2,4,1.9,19.4,1
25,Otis Thorpe\thorpot01,PF,28,HOU,82,82,37.1,6.7,12,0.556,0,0.1,0.429,6.7,12,0.557,0.557,4.1,5.9,0.696,3.5,6.8,10.3,2.4,0.9,0.2,2.6,3.4,17.5,0
26,Michael Jordan*\jordami01,SG,27,CHI,82,82,37,12.1,22.4,0.539,0.4,1.1,0.312,11.7,21.3,0.551,0.547,7,8.2,0.851,1.4,4.6,6,5.5,2.7,1,2.5,2.8,31.5,1
27,Harvey Grant\grantha01,PF,25,WSB,77,76,36.9,7.9,15.9,0.498,0,0.2,0.133,7.9,15.7,0.502,0.498,2.4,3.2,0.743,2.3,4.9,7.2,2.6,1.2,0.8,1.6,3,18.2,0
28,Hakeem Olajuwon*\olajuha01,C,28,HOU,56,50,36.8,8.7,17.1,0.508,0,0.1,0,8.7,17.1,0.51,0.508,3.8,4.9,0.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2,1
29,Scottie Pippen*\pippesc01,SF,25,CHI,82,82,36.8,7.3,14.1,0.52,0.3,0.8,0.309,7.1,13.2,0.534,0.529,2.9,4.1,0.706,2,5.3,7.3,6.2,2.4,1.1,2.8,3.3,17.8,0
30,Larry Nance\nancela01,PF,31,CLE,80,78,36.6,7.9,15.1,0.524,0,0.1,0.25,7.9,15,0.526,0.525,3.3,4.1,0.803,2.5,6.1,8.6,3,0.8,2.5,1.6,2.7,19.2,0
31,Charles Smith\smithch01,SF,25,LAC,74,74,36.5,7.4,15.8,0.469,0,0.1,0,7.4,15.7,0.472,0.469,5.2,6.5,0.793,2.9,5.3,8.2,1.8,1.1,2,2.2,3.6,20,0
32,Reggie Theus\theusre01,SG,33,NJN,81,81,36.5,7.2,15.4,0.468,0.6,1.8,0.361,6.6,13.6,0.481,0.488,3.6,4.2,0.851,0.9,2,2.8,4.7,1,0.4,3.1,2.9,18.6,0
33,Reggie Lewis\lewisre01,SG,25,BOS,79,79,36.4,7.6,15.4,0.491,0,0.2,0.077,7.6,15.3,0.495,0.491,3.6,4.3,0.826,1.5,3.7,5.2,2.5,1.2,1.1,1.9,3,18.7,0
34,Reggie Miller*\millere01,SG,25,IND,82,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1,2.4,3.4,4,1.3,0.2,2,2,22.6,0
35,Kevin Johnson\johnske02,PG,24,PHO,77,76,36,7.7,14.9,0.516,0.1,0.6,0.205,7.6,14.3,0.529,0.52,6.7,8,0.843,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,1
36,Charles Oakley\oaklech01,PF,27,NYK,76,74,36,4,7.8,0.516,0,0,0,4,7.8,0.518,0.516,3.1,4,0.784,4,8.1,12.1,2.7,0.8,0.2,2.8,3.8,11.2,0
37,Mookie Blaylock\blaylmo01,PG,23,NJN,72,70,35.9,6,14.4,0.416,0.2,1.3,0.154,5.8,13.2,0.441,0.423,1.9,2.4,0.79,0.9,2.5,3.5,6.1,2.3,0.6,2.9,2.5,14.1,0
38,Rod Strickland\stricro02,PG,24,SAS,58,56,35.8,5.4,11.2,0.482,0.2,0.6,0.333,5.2,10.7,0.49,0.491,2.8,3.6,0.763,1,2.8,3.8,8,2,0.2,2.7,2.2,13.8,0
39,Jeff Malone\malonje01,SG,29,UTA,69,69,35.7,7.6,15,0.508,0,0.1,0.167,7.6,14.9,0.51,0.508,3.3,3.7,0.917,0.5,2.5,3,2.1,0.7,0.1,1.6,1.9,18.6,0
40,Michael Adams\adamsmi01,PG,28,DEN,66,66,35.5,8.5,21.5,0.394,2.5,8.5,0.296,6,13,0.459,0.453,7,8,0.879,0.9,3,3.9,10.5,2.2,0.1,3.6,2.5,26.5,0
41,Armen Gilliam\gilliar01,PF,26,TOT,75,75,35.3,6.5,13.3,0.487,0,0,0,6.5,13.3,0.487,0.487,3.6,4.4,0.815,2.9,5,8,1.4,0.9,0.7,2.3,2.5,16.6,0
42,Derrick Coleman\colemde01,PF,23,NJN,74,68,35.2,6.9,14.9,0.467,0.2,0.5,0.342,6.8,14.4,0.472,0.473,4.4,6,0.731,3.6,6.6,10.3,2.2,1,1.3,2.9,2.9,18.4,0
43,Sherman Douglas\douglsh01,PG,24,MIA,73,73,35.1,7.3,14.5,0.504,0.1,0.4,0.129,7.2,14,0.516,0.506,3.9,5.7,0.686,1.1,1.8,2.9,8.5,1.7,0.1,3.7,2.4,18.5,0
44,Brian Shaw\shawbr01,PG,24,BOS,79,79,35.1,5.6,11.9,0.469,0,0.3,0.111,5.6,11.6,0.48,0.471,2.6,3.2,0.819,1.3,3.4,4.7,7.6,1.3,0.4,2.8,2.6,13.8,0
45,Vernon Maxwell\maxweve01,SG,25,HOU,82,79,35,6.1,15.2,0.404,2.1,6.2,0.337,4,9,0.45,0.473,2.6,3.6,0.733,0.5,2.4,2.9,3.7,1.5,0.2,2.1,2.2,17,0
46,Clyde Drexler*\drexlcl01,SG,28,POR,82,82,34.8,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14,0.509,0.505,5.1,6.4,0.794,2.6,4.1,6.7,6,1.8,0.7,2.8,2.8,21.5,1
47,Willie Anderson\anderwi01,SG,24,SAS,75,75,34.6,6,13.2,0.457,0.1,0.5,0.2,5.9,12.7,0.467,0.461,2.3,2.8,0.798,0.9,3.8,4.7,4.8,1.1,0.6,2.2,3,14.4,0
48,Rodney McCray\mccraro01,PF,29,DAL,74,68,34.6,4.5,9.2,0.495,0.2,0.5,0.333,4.4,8.6,0.505,0.504,2.1,2.7,0.803,2.1,5.5,7.6,3.5,0.9,0.7,1.7,2.7,11.4,0
49,Kenny Smith\smithke01,PG,25,HOU,78,78,34.6,6.7,12.9,0.52,0.6,1.7,0.363,6.1,11.1,0.545,0.545,3.7,4.4,0.844,0.5,1.6,2.1,7.1,1.4,0.1,3,1.7,17.7,0
50,Glen Rice\ricegl01,SF,23,MIA,77,77,34.4,7.1,15.5,0.461,0.9,2.4,0.386,6.2,13.1,0.475,0.491,2.2,2.7,0.818,1.1,3.8,4.9,2.5,1.3,0.3,2.2,2.8,17.4,0
51,Scott Skiles\skilesc01,PG,26,ORL,79,66,34.4,5.8,13.2,0.445,1.2,2.9,0.408,4.7,10.3,0.455,0.489,4.3,4.8,0.902,0.7,2.7,3.4,8.4,1.1,0.1,3.2,2.4,17.2,0
